City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Samarai,PG,80.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
628,Sapele,NG,75.47,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
633,Key West,US,80.6,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
634,Tulum,MX,82.98,broken clouds,20.2167,-87.4667,Kin Ha Tulum
639,Sohag,EG,75.38,clear sky,26.557,31.6948,Civil Registry - Sohag 1
640,Quixeramobim,BR,76.35,broken clouds,-5.1992,-39.2928,"Pousada, Restaurante e Pizzaria Emídio"
645,Itacoatiara,BR,80.15,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
646,Kantilo,IN,80.46,scattered clouds,20.35,85.1833,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
648,Fomboni,KM,77.47,broken clouds,-12.28,43.7425,Auberge les abou
657,Shelby,US,75.29,clear sky,35.2001,-89.8668,Days Inn by Wyndham Memphis - I40 and Sycamore View
658,Terrell,US,83.21,clear sky,32.736,-96.2753,"Holiday Inn Express & Suites Terrell, an IHG Hotel"
662,Tuy Hoa,VN,84.7,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
666,Katsuura,JP,77.18,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
668,Joura,IN,77.56,clear sky,26.3411,77.8115,agarwal dhram sala logde
673,Voh,NC,83.07,clear sky,-20.9667,164.7,Le gîte du Koniambo
