City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Maniitsoq,GL,2021-10-09 16:18:15,65.4167,-52.9,33.57,45,94,11.48
94,Sarangani,PH,2021-10-09 16:18:15,5.4033,125.4636,83.98,75,100,16.67
95,Mandan,US,2021-10-09 16:18:16,46.8267,-100.8896,55.38,92,20,12.66
96,Gladstone,AU,2021-10-09 16:18:16,-23.85,151.25,71.53,68,40,6.91
97,Komsomolskiy,UZ,2021-10-09 16:18:17,40.4272,71.7189,54.82,66,75,6.91
98,Dawson Creek,CA,2021-10-09 16:18:17,55.7666,-120.2362,47.84,57,20,14.97
99,Menongue,AO,2021-10-09 16:18:17,-14.6585,17.691,91.35,18,84,1.61
100,Pevek,RU,2021-10-09 16:18:18,69.7008,170.3133,23.81,92,100,2.28
101,Cherskiy,RU,2021-10-09 16:18:18,68.75,161.3,-0.26,100,96,4.09
102,Kruisfontein,ZA,2021-10-09 16:18:18,-34.0033,24.7314,62.89,63,8,15.41
103,Lorengau,PG,2021-10-09 16:18:19,-2.0226,147.2712,81.61,77,84,4.72
104,Halstenbek,DE,2021-10-09 16:18:19,53.6333,9.85,57.85,57,0,6.91
105,Baruun-Urt,MN,2021-10-09 16:18:20,46.6806,113.2792,31.01,80,57,15.73
106,Tuktoyaktuk,CA,2021-10-09 16:18:20,69.4541,-133.0374,28.4,93,90,5.75
107,Chuy,UY,2021-10-09 16:18:20,-33.6971,-53.4616,64.62,62,49,12.15
108,Saint-Augustin,CA,2021-10-09 16:18:21,51.226,-58.6502,48.25,45,9,6.24
109,Puerto Escondido,MX,2021-10-09 16:18:21,15.85,-97.0667,85.69,59,99,2.48
110,Saint George,US,2021-10-09 16:18:22,37.1041,-113.5841,63.43,90,40,1.01
111,Marawi,PH,2021-10-09 16:18:22,7.9986,124.2928,64.65,91,100,0.45
112,Duncan,US,2021-10-09 16:18:22,34.5023,-97.9578,81.36,54,94,19.46
113,Presidente Franco,PY,2021-10-09 16:18:23,-25.5333,-54.6167,70.56,100,90,10.36
114,Auki,SB,2021-10-09 16:18:23,-8.7676,160.7034,76.41,88,100,2.84
115,Seymchan,RU,2021-10-09 16:18:24,62.8833,152.4333,17.65,78,14,3.71
116,Saiha,IN,2021-10-09 16:18:24,22.4833,92.9667,70.29,99,51,2.48
117,Adrar,MR,2021-10-09 16:18:24,20.5022,-10.0711,100.35,7,79,9.04
118,Rizhao,CN,2021-10-09 16:18:25,35.4275,119.4553,70.21,95,78,8.68
119,Mitzic,GA,2021-10-09 16:18:25,0.7821,11.549,76.23,91,100,0.92
120,Coquimbo,CL,2021-10-09 16:16:23,-29.9533,-71.3436,60.53,63,20,11.5
121,Hay River,CA,2021-10-09 16:15:45,60.8156,-115.7999,40.98,75,90,6.91
122,Thompson,CA,2021-10-09 16:18:26,55.7435,-97.8558,35.76,100,90,4.61
123,Butaritari,KI,2021-10-09 16:18:27,3.0707,172.7902,81.52,67,79,14.58
124,Muros,ES,2021-10-09 16:18:27,42.7762,-9.0603,75.83,59,100,12.21
125,Chapais,CA,2021-10-09 16:17:45,49.7834,-74.8492,62.38,59,70,9.98
126,Alekseyevskoye,RU,2021-10-09 16:18:28,55.3071,50.1135,47.08,70,92,7.23
127,Chumikan,RU,2021-10-09 16:18:28,54.7183,135.315,41.2,69,100,2.8
128,Arraial Do Cabo,BR,2021-10-09 16:18:29,-22.9661,-42.0278,73.36,64,90,11.5
